label,area,perim,circ,intensity,layer
846,107,44.384776310850235,0.6825360122654822,25.925233644859812,l5
847,105,36.97056274847714,0.9653549783625651,25.447619047619046,l5
848,57,32.14213562373095,0.6933224470370106,14.175438596491228,l5
849,199,83.01219330881976,0.3628934779374283,19.115577889447238,l5
850,78,32.14213562373095,0.9487570327874882,27.28205128205128,l5
851,124,38.97056274847714,1.0260255951415214,22.911290322580644,l5
852,104,34.970562748477136,1.0686560805681524,188.58653846153845,l5
853,59,26.72792206135785,1.0378425764187664,25.694915254237287,l5
854,125,39.55634918610404,1.003893108792147,66.264,l5
855,121,38.97056274847714,1.0012023952590652,29.512396694214875,l5
856,278,61.941125496954285,0.9105346453588355,19.47482014388489,l5
857,97,60.698484809834994,0.33084600745279297,16.969072164948454,l5
858,116,43.21320343559643,0.7806114710312759,24.396551724137932,l5
859,160,49.21320343559643,0.8301691217427786,26.23125,l5
860,155,70.31980515339464,0.39390023943611663,17.24516129032258,l5
861,220,54.8700576850888,0.9182516371071018,25.977272727272727,l5
862,216,54.04163056034262,0.9294086855516013,22.203703703703702,l5
863,131,40.970562748477136,0.980702542545789,23.83206106870229,l5
864,120,39.798989873223334,0.9520220582335988,19.3,l5
865,89,33.31370849898476,1.007752555520249,23.707865168539325,l5
866,119,39.21320343559643,0.9725057559800656,22.66386554621849,l5
867,121,41.79898987322333,0.8702893342777589,24.570247933884296,l5
868,40,21.899494936611664,1.0480974335065736,32.075,l5
869,3917,499.5168106668145,0.19727098750446195,15.314781720704621,l5
870,45,22.72792206135785,1.094719653216333,35.955555555555556,l5
871,105,38.62741699796952,0.8843167010551244,87.58095238095238,l5
872,111,36.97056274847714,1.0205181199832831,29.63963963963964,l5
873,218,54.62741699796952,0.9180049563334147,55.76605504587156,l5
874,177,47.21320343559642,0.9978291646651212,83.6045197740113,l5
875,35,23.31370849898476,0.8091987148532883,31.37142857142857,l5
876,55,26.485281374238568,0.985288403241642,35.29090909090909,l5
877,86,32.14213562373095,1.0460654464067178,43.31395348837209,empty
878,125,38.970562748477136,1.0342999951023404,27.224,l5
879,294,87.84062043356595,0.4788135203951528,20.928571428571427,l5
880,26,18.27817459305202,0.9779520675899107,19.884615384615383,l5
881,138,42.970562748477136,0.9391757445441637,25.608695652173914,l5
882,110,36.72792206135785,1.0247309014710697,28.118181818181817,l5
883,136,40.970562748477136,1.0181339372994451,26.095588235294116,l5
884,132,41.21320343559643,0.9765872490115113,23.78030303030303,l5
885,67,30.384776310850235,0.9119532591950574,48.19402985074627,l5
886,23,15.65685424949238,1.1790403893488048,37.08695652173913,l5
887,110,36.142135623730944,1.0582174692140014,26.3,l5
888,58,32.14213562373095,0.7054859987394143,19.603448275862068,l5
889,109,38.970562748477136,0.9019095957292408,25.834862385321102,l5
890,75,30.727922061357855,0.9981705267641615,23.866666666666667,l5
891,58,26.48528137423857,1.039031407054822,34.6551724137931,l5
892,68,28.727922061357855,1.0354052171764774,20.205882352941178,l5
893,89,34.14213562373095,0.959441510325712,24.797752808988765,l5
894,202,53.4558441227157,0.8883228832058933,22.059405940594058,l5
895,284,63.94112549695428,0.8729063465590304,24.926056338028168,l5
